Year,Body_Count
2002,7
2002,53
2007,212
2007,67
2007,600
2007,45
1999,1
1986,65
1987,199
1977,243
1983,4
1971,7
1964,109
1971,471
2005,13
2003,39
1984,4
1988,18
1988,17
2005,58
1997,54
1988,119
2005,119
2002,11
1979,1
1986,68
2007,5
2007,3
1980,5
2007,15
1985,114
1981,61
2000,18
1993,53
1997,9
1979,62
2006,114
2008,10
2007,67
1998,16
1976,39
2005,21
2007,34
2002,6
1995,30
2003,63
2008,38
1991,3
1989,56
2005,18
1992,18
2000,51
2001,96
2007,51
1986,46
2009,66
2001,135
1998,111
2002,98
1982,5
2004,140
2006,187
2007,256
2006,102
1992,72
1995,184
1985,25
1999,109
1996,25
2001,40
2001,16
1990,214
2003,37
2002,19
1995,25
2006,54
2007,22
2003,39
2006,77
1965,148
1983,6
2005,86
2000,8
2002,60
1990,43
1994,41
2008,27
2004,17
2002,90
1966,213
1985,75
1985,88
1970,133
1997,30
1982,114
2002,50
1995,92
1997,7
2005,7
1998,25
2003,13
2006,29
1982,15
2003,20
1977,147
2000,14
1995,82
2002,8
1981,49
1978,175
2004,131
1985,40
1967,54
2007,15
1985,80
1987,57
2002,3
1990,92
1993,25
1995,80
1971,29
1988,20
1990,37
1995,26
2009,71
2004,34
2007,10
2005,51
2001,3
2005,89
2008,188
1962,8
1964,33
1992,94
2000,18
1984,186
1961,160
1970,202
2001,174
2002,236
1996,52
1981,28
1987,8
1981,168
1999,11
2001,38
1997,56
1995,21
2007,6
1998,10
2006,5
1999,14
2006,5
2006,93
2008,3
1981,42
1965,42
2001,22
2005,16
2009,14
1996,122
1999,63
1963,21
1999,32
1981,85
2002,109
2000,7
2000,5
2007,52
1989,258
1995,57
2007,8
2007,310
2007,281
1987,106
1990,9
2001,15
1992,307
1990,19
2005,3
1995,18
2004,42
2002,152
2007,55
1996,17
2005,16
2007,29
1991,11
1993,114
2003,141
1999,30
2007,71
2004,176
2008,5
2007,329
1996,48
2008,76
1989,48
1984,41
2009,59
2006,13
1985,146
2008,57
2007,15
1997,4
2001,27
2008,7
2001,6
2002,10
1970,139
1976,76
2010,64
2003,95
2004,3
2004,378
2005,23
1990,38
2005,610
2005,15
2004,20
2005,217
1993,45
1996,57
1962,180
2004,8
2003,55
1994,33
1994,33
1987,26
1989,33
1992,17
1998,30
2006,84
1973,11
1998,16
1983,61
1973,90
1972,102
1972,71
1974,169
2001,118
2003,836
2002,468
2006,19
2010,81
1979,9
1981,44
1985,12
1965,147
1990,34
2003,122
1994,4
2008,38
1996,18
1991,181
2001,3
2000,4
2008,4
2002,4
1984,100
1996,9
2000,37
2006,23
2007,200
1975,48
1995,11
2005,43
2007,9
1998,43
2005,49
2008,310
2009,24
1994,98
1966,82
2007,53
2009,137
2007,22
1983,46
2013,156
1994,25
1969,26
2003,99
1991,59
1997,120
1991,20
1998,9
2006,30
1957,67
1992,35
1970,199
1999,18
2001,153
2007,252
2003,42
2006,90
1959,7
2001,99
1986,160
1988,106
1993,35
2006,214
1987,64
1994,38
1994,38
1972,6
1994,10
2008,129
2009,24
1981,84
2008,247
1988,127
1985,67
1985,182
1986,38
1984,118
2000,4
1989,104
1985,96
1971,92
2002,32
1992,12
2004,123
2007,124
2002,6
2002,6
2002,11
2002,91
1989,7
1987,34
2008,11
1993,15
1998,34
2006,22
1969,90
2005,68
1965,94
1954,50
1998,255
1983,44
1993,98
1995,62
2004,4
1982,12
2005,74
1954,65
2006,28
2000,22
2004,60
2007,151
2007,56
1991,48
2010,171
2002,3
1996,35
2005,53
1999,25
2006,102
2008,8
2007,47
2006,60
2000,26
1998,77
2004,15
1994,7
1996,63
2002,54
1999,34
2002,55
2005,115
1977,75
1980,30
1983,69
2007,22
1994,51
1997,256
2008,171
1991,45
1995,12
2008,15
1999,10
2007,15
1993,8
2006,10
2007,12
1998,74
2001,41
2005,11
2007,206
2004,590
1975,65
2008,35
1989,20
1976,4
2004,79
2003,83
1984,34
1991,23
2003,14
2001,84
1999,61
1971,10
1990,7
2004,249
2008,4
1998,38
1980,338
2006,13
1999,33
2002,8
2004,9
2007,5
2008,170
2004,187
2005,18
1999,37
2002,5
1994,35
1996,12
2008,36
2004,130
2006,21
2005,30
1993,107
1993,107
2010,203
1997,80
1989,8
1980,6
1971,12
1993,5
2006,5
1966,126
2005,103
1968,42
2006,11
1990,7
1995,83
2003,74
2008,41
2004,16
2009,18
2005,12
1997,11
1989,149
2004,5
1991,26
2009,6
2003,558
1992,172
1993,98
1993,97
2005,13
1996,68
2007,7
2005,41
2008,25
1960,55
1974,6
1998,26
1999,39
1999,223
2007,46
1999,155
2001,137
2001,56
2005,28
2007,10
2006,8
1976,120
1998,42
2000,123
2004,3
2002,70
2006,7
1989,96
2004,66
1998,38
1996,24
2003,46
1987,41
2002,105
1994,4
2007,78
1991,8
1977,73
1966,119
1998,167
1982,21
1949,4
2002,8
2006,56
1995,39
2000,18
1969,145
1974,31
2000,2
2007,4
1995,15
1974,128
1965,47
2003,65
1997,307
1995,2
1993,55
1997,55
1990,77
2007,103
1986,47
2005,11
2004,572
1994,71
1993,21
1970,107
1989,36
2000,4
1992,65
1995,47
2003,58
2006,75
1992,47
2004,65
2006,6
2007,5
2004,6
2008,57
2007,97
2005,52
2008,73
1983,89
2001,22
2009,77
1970,210
1995,67
2002,305
1968,100
1999,95
2002,389
1961,61
2007,10
1967,91
2003,81
2007,3
2009,109
2001,4
1964,140
