Year,Rating
1931,8.5
1931,8.6
1931,8.0
1931,7.6
1931,7.8
1931,7.6
1931,7.7
1931,7.4
1931,6.0
1931,7.7
1931,6.0
1931,7.7
1931,7.1
1931,7.8
1931,7.6
1931,6.7
1931,7.3
1931,6.9
1931,5.9
1931,7.7
1931,7.3
1931,6.9
1931,7.6
1931,6.7
1931,7.8
1932,7.9
1932,7.8
1932,7.2
1932,7.6
1932,7.7
1932,7.7
1932,8.1
1932,8.0
1932,7.3
1932,6.5
1932,7.2
1932,7.3
1932,7.6
1932,7.5
1932,7.4
1932,7.6
1932,5.9
1932,6.6
1932,7.9
1932,7.3
1932,7.8
1932,7.4
1932,8.1
1932,6.3
1933,8.0
1933,8.0
1933,7.7
1933,7.9
1933,7.7
1933,7.7
1933,7.8
1933,7.8
1933,8.0
1933,7.5
1933,7.3
1933,7.5
1933,6.5
1933,7.6
1933,6.9
1933,7.7
1933,7.5
1933,7.2
1933,6.7
1933,6.2
1933,5.8
1933,7.1
1933,7.0
1934,8.3
1934,8.1
1934,6.9
1934,7.9
1934,7.2
1934,7.6
1934,7.8
1934,7.4
1934,7.8
1934,7.3
1934,7.6
1934,7.4
1934,7.5
1934,7.5
1934,7.1
1934,6.9
1934,7.0
1934,7.5
1934,7.8
1934,7.2
1934,3.3
1934,7.7
1934,7.3
1934,7.6
1935,7.9
1935,7.9
1935,8.1
1935,7.8
1935,7.8
1935,7.5
1935,7.8
1935,7.6
1935,7.8
1935,7.1
1935,6.4
1935,6.3
1935,7.0
1935,7.4
1935,7.6
1935,7.0
1935,6.3
1935,7.7
1935,7.2
1935,7.8
1935,7.0
1935,7.1
1935,7.5
1935,7.2
1935,7.4
1936,8.6
1936,8.1
1936,8.0
1936,7.1
1936,7.6
1936,7.7
1936,7.9
1936,7.6
1936,8.1
1936,3.6
1936,6.7
1936,7.5
1936,7.8
1936,6.7
1936,6.9
1936,7.3
1936,6.4
1936,7.8
1936,7.1
1936,7.3
1936,6.9
1936,7.7
1936,7.0
1936,7.6
1937,7.7
1937,8.2
1937,7.9
1937,7.6
1937,7.8
1937,8.0
1937,7.0
1937,7.8
1937,7.7
1937,7.6
1937,7.4
1937,7.6
1937,7.7
1937,7.4
1937,7.5
1937,7.4
1937,8.1
1937,7.5
1937,7.8
1937,7.8
1937,7.5
1937,7.2
1937,7.3
1937,7.3
1938,8.1
1938,8.0
1938,8.0
1938,8.0
1938,8.0
1938,7.9
1938,7.7
1938,7.6
1938,7.9
1938,7.7
1938,7.8
1938,7.4
1938,7.3
1938,6.7
1938,8.0
1938,7.1
1938,7.7
1938,7.5
1938,7.2
1938,7.9
1938,7.3
1938,7.6
1938,6.9
1938,7.0
1939,8.1
1939,8.2
1939,8.3
1939,7.9
1939,8.1
1939,7.9
1939,7.7
1939,7.9
1939,7.5
1939,7.9
1939,7.7
1939,7.8
1939,7.9
1939,7.7
1939,7.6
1939,7.6
1939,6.3
1939,7.1
1939,7.6
1939,7.7
1939,7.6
1939,7.4
1939,7.8
1939,7.8
1939,6.9
1940,8.5
1940,8.3
1940,7.8
1940,7.6
1940,8.2
1940,8.1
1940,8.0
